p_code,age,language,gender,education,cog_emp,aff_emp,sg_size,sc_size,aq,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,acq1,sg_rel,sc_rel,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,acq2,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,acq3,AQ1,AQ2,AQ3,AQ4,AQ5,AQ6,AQ7,AQ8,AQ9,AQ10,AQ11,AQ12,AQ13,AQ14,AQ15,AQ16,AQ17,AQ18,AQ19,AQ20,AQ21,AQ22,AQ23,AQ24,AQ25,AQ26,AQ27,AQ28,AQ29,AQ30,AQ31,AQ32,AQ33,AQ34,AQ35,AQ36,AQ37,AQ38,AQ39,AQ40,AQ41,AQ42,AQ43,AQ44,AQ45,AQ46,AQ47,AQ48,AQ49,AQ50,acq_tot,s1_pro,s2_pro,s3_pro,s4_pro,s5_pro,s6_pro,s7_pro,s8_pro,s9_pro,s10_pro,s11_pro,s12_pro,s13_pro,s14_pro,s15_pro,s16_pro,s17_pro,s18_pro,s19_pro,s20_pro,p1_pro,p2_pro,p3_pro,p4_pro,p5_pro,p6_pro,p7_pro,p8_pro,p9_pro,p10_pro,p11_pro,p12_pro,p13_pro,p14_pro,p15_pro,p16_pro,p17_pro,p18_pro,p19_pro,p20_pro
41.0,38.0,1.0,1.0,2.0,51.0,25.0,6.0,1.0,27.0,A,A,A,C,A,A,D,A,B,A,A,B,A,C,A,D,A,B,A,A,1.0,2.0,6.0,C,A,C,B,C,D,B,A,B,B,C,A,B,A,B,B,D,B,A,C,1.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,0.8580645161290322,0.3741935483870968,0.6516129032258065,0.11612903225806452,0.2129032258064516,0.8516129032258064,0.432258064516129,0.632258064516129,0.43870967741935485,0.7354838709677419,0.36129032258064514,0.432258064516129,0.7419354838709677,0.3548387096774194,0.5870967741935483,0.10967741935483871,0.6645161290322581,0.45806451612903226,0.47096774193548385,0.5548387096774193,0.18064516129032257,0.5935483870967742,0.1032258064516129,0.22580645161290322,0.1870967741935484,0.08387096774193549,0.4129032258064516,0.3419354838709677,0.3096774193548387,0.36129032258064514,0.47096774193548385,0.18064516129032257,0.4838709677419355,0.38064516129032255,0.3161290322580645,0.2903225806451613,0.17419354838709677,0.43870967741935485,0.4064516129032258,0.1935483870967742
42.0,20.0,1.0,2.0,1.0,38.0,43.0,7.0,4.0,25.0,A,A,A,A,B,A,C,A,B,A,A,B,D,C,D,A,A,B,B,A,1.0,4.0,3.0,A,A,A,C,A,B,A,D,C,B,C,B,A,B,A,D,A,A,A,D,1.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,3.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.8580645161290322,0.3741935483870968,0.6516129032258065,0.6838709677419355,0.6451612903225806,0.8516129032258064,0.0967741935483871,0.632258064516129,0.43870967741935485,0.7354838709677419,0.36129032258064514,0.432258064516129,0.07096774193548387,0.3548387096774194,0.18064516129032257,0.4064516129032258,0.6645161290322581,0.45806451612903226,0.41935483870967744,0.5548387096774193,0.25806451612903225,0.5935483870967742,0.4129032258064516,0.12903225806451613,0.5032258064516129,0.2709677419354839,0.36774193548387096,0.17419354838709677,0.3935483870967742,0.36129032258064514,0.47096774193548385,0.4,0.3419354838709677,0.3741935483870968,0.5096774193548387,0.16129032258064516,0.18064516129032257,0.45161290322580644,0.4064516129032258,0.13548387096774195
43.0,31.0,1.0,1.0,2.0,76.0,21.0,4.0,1.0,17.0,A,D,A,A,B,A,C,C,A,A,A,C,A,C,A,C,C,C,B,A,1.0,2.0,2.0,B,C,A,A,A,A,A,D,D,B,C,B,B,A,B,A,C,B,C,B,1.0,4.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.8580645161290322,0.1032258064516129,0.6516129032258065,0.6838709677419355,0.6451612903225806,0.8516129032258064,0.0967741935483871,0.05806451612903226,0.21935483870967742,0.7354838709677419,0.36129032258064514,0.1032258064516129,0.7419354838709677,0.3548387096774194,0.5870967741935483,0.34838709677419355,0.2064516129032258,0.3419354838709677,0.41935483870967744,0.5548387096774193,0.4645161290322581,0.2064516129032258,0.4129032258064516,0.5225806451612903,0.5032258064516129,0.38064516129032255,0.36774193548387096,0.17419354838709677,0.07096774193548387,0.36129032258064514,0.47096774193548385,0.4,0.4838709677419355,0.38064516129032255,0.3161290322580645,0.21935483870967742,0.4774193548387097,0.43870967741935485,0.10967741935483871,0.2709677419354839
44.0,29.0,1.0,1.0,2.0,67.0,40.0,5.0,1.0,17.0,A,D,B,A,A,A,D,B,B,B,A,C,A,D,C,B,A,B,B,D,1.0,2.0,2.0,D,A,B,A,A,B,A,A,C,B,C,B,B,D,A,C,C,B,A,A,1.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,0.8580645161290322,0.1032258064516129,0.16129032258064516,0.6838709677419355,0.2129032258064516,0.8516129032258064,0.432258064516129,0.23225806451612904,0.43870967741935485,0.22580645161290322,0.36129032258064514,0.1032258064516129,0.7419354838709677,0.18064516129032257,0.14838709677419354,0.11612903225806452,0.6645161290322581,0.45806451612903226,0.41935483870967744,0.25161290322580643,0.07741935483870968,0.5935483870967742,0.43870967741935485,0.5225806451612903,0.5032258064516129,0.2709677419354839,0.36774193548387096,0.3419354838709677,0.3935483870967742,0.36129032258064514,0.47096774193548385,0.4,0.4838709677419355,0.13548387096774195,0.5096774193548387,0.3096774193548387,0.4774193548387097,0.43870967741935485,0.4064516129032258,0.38064516129032255
45.0,24.0,1.0,2.0,2.0,68.0,34.0,12.0,2.0,11.0,A,B,C,C,B,A,A,A,A,A,B,B,A,D,A,C,A,B,B,B,1.0,6.0,2.0,B,B,B,A,A,A,B,A,B,C,A,A,D,A,B,C,C,B,D,C,1.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.8580645161290322,0.2129032258064516,0.12903225806451613,0.11612903225806452,0.6451612903225806,0.8516129032258064,0.25806451612903225,0.632258064516129,0.21935483870967742,0.7354838709677419,0.4,0.432258064516129,0.7419354838709677,0.18064516129032257,0.5870967741935483,0.34838709677419355,0.6645161290322581,0.45806451612903226,0.41935483870967744,0.1032258064516129,0.4645161290322581,0.17419354838709677,0.43870967741935485,0.5225806451612903,0.5032258064516129,0.38064516129032255,0.4129032258064516,0.3419354838709677,0.3096774193548387,0.2838709677419355,0.2903225806451613,0.18064516129032257,0.07741935483870968,0.38064516129032255,0.3161290322580645,0.3096774193548387,0.4774193548387097,0.43870967741935485,0.04516129032258064,0.1935483870967742
46.0,35.0,1.0,1.0,2.0,60.0,34.0,3.0,3.0,11.0,A,B,B,A,B,A,A,B,C,A,D,D,A,C,A,C,D,C,B,A,1.0,3.0,2.0,C,A,B,C,A,D,C,B,C,A,A,A,A,B,D,A,D,B,B,D,1.0,3.0,1.0,4.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,2.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.8580645161290322,0.2129032258064516,0.16129032258064516,0.6838709677419355,0.6451612903225806,0.8516129032258064,0.25806451612903225,0.23225806451612904,0.3032258064516129,0.7354838709677419,0.07741935483870968,0.08387096774193549,0.7419354838709677,0.3548387096774194,0.5870967741935483,0.34838709677419355,0.012903225806451613,0.3419354838709677,0.41935483870967744,0.5548387096774193,0.18064516129032257,0.5935483870967742,0.43870967741935485,0.12903225806451613,0.5032258064516129,0.08387096774193549,0.12903225806451613,0.4064516129032258,0.3935483870967742,0.2903225806451613,0.2903225806451613,0.18064516129032257,0.3419354838709677,0.3741935483870968,0.05806451612903226,0.21935483870967742,0.17419354838709677,0.43870967741935485,0.41935483870967744,0.13548387096774195
47.0,28.0,1.0,1.0,1.0,75.0,29.0,9.0,7.0,22.0,A,C,D,A,D,C,B,C,A,B,A,D,B,A,B,B,C,C,D,B,0.0,2.0,4.0,C,A,A,B,A,B,C,A,C,B,A,C,B,B,A,D,B,D,C,C,1.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.8580645161290322,0.2903225806451613,0.03870967741935484,0.6838709677419355,0.01935483870967742,0.0967741935483871,0.1935483870967742,0.05806451612903226,0.21935483870967742,0.22580645161290322,0.36129032258064514,0.08387096774193549,0.08387096774193549,0.33548387096774196,0.06451612903225806,0.11612903225806452,0.2064516129032258,0.3419354838709677,0.03870967741935484,0.1032258064516129,0.18064516129032257,0.5935483870967742,0.4129032258064516,0.22580645161290322,0.5032258064516129,0.2709677419354839,0.12903225806451613,0.3419354838709677,0.3935483870967742,0.36129032258064514,0.2903225806451613,0.05161290322580645,0.4838709677419355,0.3741935483870968,0.5096774193548387,0.16129032258064516,0.14838709677419354,0.025806451612903226,0.10967741935483871,0.1935483870967742
48.0,26.0,1.0,1.0,1.0,51.0,32.0,2.0,1.0,10.0,A,B,A,A,B,A,D,A,C,B,A,B,A,C,B,C,A,B,B,A,1.0,6.0,2.0,A,A,B,A,B,C,D,A,B,B,A,B,C,A,D,A,C,A,B,B,1.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.8580645161290322,0.2129032258064516,0.6516129032258065,0.6838709677419355,0.6451612903225806,0.8516129032258064,0.432258064516129,0.632258064516129,0.3032258064516129,0.22580645161290322,0.36129032258064514,0.432258064516129,0.7419354838709677,0.3548387096774194,0.06451612903225806,0.34838709677419355,0.6645161290322581,0.45806451612903226,0.41935483870967744,0.5548387096774193,0.25806451612903225,0.5935483870967742,0.43870967741935485,0.5225806451612903,0.2645161290322581,0.24516129032258063,0.07096774193548387,0.3419354838709677,0.3096774193548387,0.36129032258064514,0.2903225806451613,0.4,0.07741935483870968,0.38064516129032255,0.05806451612903226,0.21935483870967742,0.4774193548387097,0.45161290322580644,0.41935483870967744,0.2709677419354839
49.0,25.0,1.0,1.0,2.0,63.0,31.0,3.0,1.0,24.0,D,B,B,C,A,A,A,A,C,A,B,C,A,C,B,A,A,B,B,A,1.0,2.0,3.0,D,A,B,C,C,A,C,B,D,C,C,B,A,A,B,C,C,C,D,D,0.0,1.0,1.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0,1.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,1.0,3.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.05806451612903226,0.2129032258064516,0.16129032258064516,0.11612903225806452,0.2129032258064516,0.8516129032258064,0.25806451612903225,0.632258064516129,0.3032258064516129,0.7354838709677419,0.4,0.1032258064516129,0.7419354838709677,0.3548387096774194,0.06451612903225806,0.4064516129032258,0.6645161290322581,0.45806451612903226,0.41935483870967744,0.5548387096774193,0.07741935483870968,0.5935483870967742,0.43870967741935485,0.12903225806451613,0.1870967741935484,0.38064516129032255,0.12903225806451613,0.4064516129032258,0.07096774193548387,0.2838709677419355,0.47096774193548385,0.4,0.3419354838709677,0.38064516129032255,0.3161290322580645,0.3096774193548387,0.4774193548387097,0.06451612903225806,0.04516129032258064,0.13548387096774195
50.0,26.0,1.0,1.0,1.0,55.0,37.0,7.0,5.0,19.0,A,A,A,A,B,A,A,A,C,A,B,D,A,C,A,C,A,C,A,A,0.0,2.0,2.0,B,C,C,C,C,B,A,B,C,C,A,D,B,A,B,C,A,B,A,C,1.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.8580645161290322,0.3741935483870968,0.6516129032258065,0.6838709677419355,0.6451612903225806,0.8516129032258064,0.25806451612903225,0.632258064516129,0.3032258064516129,0.7354838709677419,0.4,0.08387096774193549,0.7419354838709677,0.3548387096774194,0.5870967741935483,0.34838709677419355,0.6645161290322581,0.3419354838709677,0.47096774193548385,0.5548387096774193,0.4645161290322581,0.2064516129032258,0.1032258064516129,0.12903225806451613,0.1870967741935484,0.2709677419354839,0.36774193548387096,0.4064516129032258,0.3935483870967742,0.2838709677419355,0.2903225806451613,0.34838709677419355,0.4838709677419355,0.38064516129032255,0.3161290322580645,0.3096774193548387,0.18064516129032257,0.43870967741935485,0.4064516129032258,0.1935483870967742
51.0,31.0,1.0,1.0,1.0,53.0,28.0,5.0,1.0,28.0,A,A,A,A,C,A,D,A,B,A,D,A,A,D,A,B,B,B,B,D,1.0,8.0,4.0,B,A,A,A,B,C,A,A,A,B,A,A,B,B,B,D,B,A,B,A,1.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,4.0,2.0,4.0,4.0,2.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,0.8580645161290322,0.3741935483870968,0.6516129032258065,0.6838709677419355,0.1032258064516129,0.8516129032258064,0.432258064516129,0.632258064516129,0.43870967741935485,0.7354838709677419,0.07741935483870968,0.36129032258064514,0.7419354838709677,0.18064516129032257,0.5870967741935483,0.11612903225806452,0.0967741935483871,0.45806451612903226,0.41935483870967744,0.25161290322580643,0.4645161290322581,0.5935483870967742,0.4129032258064516,0.5225806451612903,0.2645161290322581,0.24516129032258063,0.36774193548387096,0.3419354838709677,0.2064516129032258,0.36129032258064514,0.2903225806451613,0.18064516129032257,0.4838709677419355,0.3741935483870968,0.3161290322580645,0.16129032258064516,0.14838709677419354,0.45161290322580644,0.41935483870967744,0.38064516129032255
52.0,25.0,1.0,2.0,2.0,63.0,43.0,11.0,6.0,28.0,A,B,A,A,B,A,A,A,B,B,B,A,A,B,A,C,C,B,B,A,1.0,5.0,3.0,B,A,A,D,A,A,B,B,A,C,A,A,B,A,A,D,D,B,C,D,1.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,0.8580645161290322,0.2129032258064516,0.6516129032258065,0.6838709677419355,0.6451612903225806,0.8516129032258064,0.25806451612903225,0.632258064516129,0.43870967741935485,0.22580645161290322,0.4,0.36129032258064514,0.7419354838709677,0.10967741935483871,0.5870967741935483,0.34838709677419355,0.2064516129032258,0.45806451612903226,0.41935483870967744,0.5548387096774193,0.4645161290322581,0.5935483870967742,0.4129032258064516,0.1032258064516129,0.5032258064516129,0.38064516129032255,0.4129032258064516,0.4064516129032258,0.2064516129032258,0.2838709677419355,0.2903225806451613,0.18064516129032257,0.4838709677419355,0.38064516129032255,0.5096774193548387,0.16129032258064516,0.17419354838709677,0.43870967741935485,0.10967741935483871,0.13548387096774195
53.0,45.0,1.0,1.0,1.0,56.0,40.0,10.0,2.0,14.0,B,C,A,B,A,A,D,A,B,A,A,A,C,C,A,C,A,B,A,A,1.0,2.0,6.0,B,C,B,A,A,B,B,B,C,A,C,B,A,B,A,B,B,A,B,C,1.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.06451612903225806,0.2903225806451613,0.6516129032258065,0.11612903225806452,0.2129032258064516,0.8516129032258064,0.432258064516129,0.632258064516129,0.43870967741935485,0.7354838709677419,0.36129032258064514,0.36129032258064514,0.08387096774193549,0.3548387096774194,0.5870967741935483,0.34838709677419355,0.6645161290322581,0.45806451612903226,0.47096774193548385,0.5548387096774193,0.4645161290322581,0.2064516129032258,0.43870967741935485,0.5225806451612903,0.5032258064516129,0.2709677419354839,0.4129032258064516,0.4064516129032258,0.3935483870967742,0.2903225806451613,0.47096774193548385,0.4,0.3419354838709677,0.3741935483870968,0.5096774193548387,0.2903225806451613,0.14838709677419354,0.45161290322580644,0.41935483870967744,0.1935483870967742
54.0,50.0,1.0,2.0,2.0,71.0,29.0,19.0,4.0,17.0,A,C,A,A,B,A,A,B,B,A,A,A,A,B,C,C,C,C,B,A,1.0,2.0,2.0,B,A,A,A,C,D,B,B,A,B,B,D,A,C,B,D,C,A,B,C,1.0,4.0,1.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,1.0,3.0,2.0,1.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.8580645161290322,0.2903225806451613,0.6516129032258065,0.6838709677419355,0.6451612903225806,0.8516129032258064,0.25806451612903225,0.23225806451612904,0.43870967741935485,0.7354838709677419,0.36129032258064514,0.36129032258064514,0.7419354838709677,0.10967741935483871,0.14838709677419354,0.34838709677419355,0.2064516129032258,0.3419354838709677,0.41935483870967744,0.5548387096774193,0.4645161290322581,0.5935483870967742,0.4129032258064516,0.5225806451612903,0.1870967741935484,0.08387096774193549,0.4129032258064516,0.4064516129032258,0.2064516129032258,0.36129032258064514,0.2064516129032258,0.34838709677419355,0.3419354838709677,0.09032258064516129,0.3161290322580645,0.16129032258064516,0.4774193548387097,0.45161290322580644,0.41935483870967744,0.1935483870967742
55.0,26.0,1.0,1.0,2.0,69.0,31.0,5.0,2.0,22.0,A,C,A,A,B,A,B,B,C,A,A,A,B,B,A,A,A,A,D,A,1.0,2.0,2.0,C,C,A,B,A,A,A,D,C,C,A,B,A,A,B,A,C,B,C,A,1.0,4.0,1.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,0.8580645161290322,0.2903225806451613,0.6516129032258065,0.6838709677419355,0.6451612903225806,0.8516129032258064,0.1935483870967742,0.23225806451612904,0.3032258064516129,0.7354838709677419,0.36129032258064514,0.36129032258064514,0.08387096774193549,0.10967741935483871,0.5870967741935483,0.4064516129032258,0.6645161290322581,0.16129032258064516,0.03870967741935484,0.5548387096774193,0.18064516129032257,0.2064516129032258,0.4129032258064516,0.22580645161290322,0.5032258064516129,0.38064516129032255,0.36774193548387096,0.17419354838709677,0.3935483870967742,0.2838709677419355,0.2903225806451613,0.4,0.3419354838709677,0.38064516129032255,0.3161290322580645,0.21935483870967742,0.4774193548387097,0.43870967741935485,0.10967741935483871,0.38064516129032255
56.0,36.0,1.0,1.0,2.0,56.0,30.0,6.0,1.0,22.0,A,A,A,A,A,C,C,D,D,B,A,A,C,D,B,C,D,B,B,B,0.0,2.0,4.0,C,A,D,B,A,C,D,C,A,A,C,C,D,D,B,C,C,C,B,B,1.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.8580645161290322,0.3741935483870968,0.6516129032258065,0.6838709677419355,0.2129032258064516,0.0967741935483871,0.0967741935483871,0.05806451612903226,0.01935483870967742,0.22580645161290322,0.36129032258064514,0.36129032258064514,0.08387096774193549,0.18064516129032257,0.06451612903225806,0.34838709677419355,0.012903225806451613,0.45806451612903226,0.41935483870967744,0.1032258064516129,0.18064516129032257,0.5935483870967742,0.025806451612903226,0.22580645161290322,0.5032258064516129,0.24516129032258063,0.07096774193548387,0.05806451612903226,0.2064516129032258,0.2903225806451613,0.47096774193548385,0.05161290322580645,0.07741935483870968,0.13548387096774195,0.3161290322580645,0.3096774193548387,0.4774193548387097,0.06451612903225806,0.41935483870967744,0.2709677419354839
