p_code,age,language,gender,education,sg_freq,sg_tot,sg_prop,sc_freq,sc_tot,sc_prop,cog_emp,aff_emp,sg_size,sc_size,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,acq1,sg_rel,sc_rel,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,acq2,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,acq3,acq_tot,s1_pro,s2_pro,s3_pro,s4_pro,s5_pro,s6_pro,s7_pro,s8_pro,s9_pro,s10_pro,s11_pro,s12_pro,s13_pro,s14_pro,s15_pro,s16_pro,s17_pro,s18_pro,s19_pro,s20_pro,p1_pro,p2_pro,p3_pro,p4_pro,p5_pro,p6_pro,p7_pro,p8_pro,p9_pro,p10_pro,p11_pro,p12_pro,p13_pro,p14_pro,p15_pro,p16_pro,p17_pro,p18_pro,p19_pro,p20_pro
39,27,1,1,1,1,8,0.125,1,9,0.111111111,52,30,5,2,A,C,B,A,B,A,D,D,B,D,C,C,A,A,B,D,A,C,A,A,0,3,4,B,B,B,A,B,A,A,A,B,B,A,B,C,A,B,A,D,A,B,C,1,3,2,3,2,1,3,2,1,2,3,3,2,4,3,4,2,2,4,2,2,3,2,3,2,3,4,4,2,3,3,3,1,2,0.4759036144578313,0.19879518072289157,0.2289156626506024,0.572289156626506,0.608433734939759,0.8192771084337349,0.45180722891566266,0.06626506024096386,0.5060240963855421,0.030120481927710843,0.1746987951807229,0.09036144578313253,0.7409638554216867,0.3614457831325301,0.07228915662650602,0.14457831325301204,0.6445783132530121,0.27710843373493976,0.42168674698795183,0.608433734939759,0.4759036144578313,0.27710843373493976,0.4397590361445783,0.5602409638554217,0.21686746987951808,0.3493975903614458,0.39156626506024095,0.3674698795180723,0.3313253012048193,0.3253012048192771,0.27710843373493976,0.463855421686747,0.10240963855421686,0.3132530120481928,0.21686746987951808,0.23493975903614459,0.10843373493975904,0.4578313253012048,0.3072289156626506,0.26506024096385544
40,39,1,1,3,0,7,0.0,1,9,0.111111111,71,38,9,3,A,A,A,A,A,A,B,B,A,A,A,A,A,A,C,C,C,A,B,A,1,3,3,C,B,B,A,B,B,A,A,C,B,C,D,A,B,B,C,B,A,B,C,1,4,3,4,4,4,4,3,2,3,3,4,2,3,4,4,4,4,4,3,4,4,4,4,4,3,4,3,4,3,3,3,1,3,0.16265060240963855,0.46987951807228917,0.5542168674698795,0.572289156626506,0.2289156626506024,0.8192771084337349,0.1566265060240964,0.2469879518072289,0.20481927710843373,0.7530120481927711,0.35542168674698793,0.4457831325301205,0.7409638554216867,0.3614457831325301,0.12650602409638553,0.45180722891566266,0.16265060240963855,0.16265060240963855,0.4879518072289157,0.608433734939759,0.16265060240963855,0.27710843373493976,0.4397590361445783,0.5602409638554217,0.21686746987951808,0.25301204819277107,0.39156626506024095,0.3674698795180723,0.3192771084337349,0.3253012048192771,0.37349397590361444,0.37349397590361444,0.29518072289156627,0.463855421686747,0.21686746987951808,0.24096385542168675,0.15060240963855423,0.4578313253012048,0.3072289156626506,0.26506024096385544
41,35,1,1,1,2,7,0.285714286,5,7,0.714285714,46,31,5,2,A,A,C,A,A,A,D,A,B,A,B,A,A,C,A,D,A,C,A,D,1,2,2,D,A,B,A,A,B,A,D,B,A,A,D,A,A,D,A,D,B,B,D,1,3,3,3,3,3,3,3,2,2,2,3,2,3,2,2,2,3,3,2,2,2,2,3,2,2,2,2,3,3,3,2,1,3,0.13855421686746988,0.46987951807228917,0.16265060240963855,0.572289156626506,0.2289156626506024,0.8192771084337349,0.45180722891566266,0.6325301204819277,0.5060240963855421,0.7530120481927711,0.3855421686746988,0.4457831325301205,0.7409638554216867,0.2891566265060241,0.6265060240963856,0.14457831325301204,0.6445783132530121,0.27710843373493976,0.42168674698795183,0.23493975903614459,0.13855421686746988,0.5903614457831325,0.4397590361445783,0.5602409638554217,0.5481927710843374,0.25301204819277107,0.39156626506024095,0.1927710843373494,0.3313253012048193,0.39759036144578314,0.27710843373493976,0.37349397590361444,0.29518072289156627,0.3132530120481928,0.04216867469879518,0.23493975903614459,0.10843373493975904,0.463855421686747,0.3072289156626506,0.12048192771084337
42,40,1,2,1,1,6,0.166666667,2,11,0.181818182,38,26,9,5,A,A,A,A,B,A,B,A,B,A,A,A,A,B,C,B,A,C,B,A,1,2,1,B,B,A,A,A,A,A,B,B,A,C,B,B,D,A,C,C,A,A,A,1,1,4,1,1,1,1,2,1,1,2,4,2,1,1,3,3,1,1,3,3,3,3,3,3,3,3,2,1,4,1,1,1,3,0.4759036144578313,0.46987951807228917,0.5542168674698795,0.572289156626506,0.608433734939759,0.8192771084337349,0.1566265060240964,0.6325301204819277,0.5060240963855421,0.7530120481927711,0.35542168674698793,0.4457831325301205,0.7409638554216867,0.13253012048192772,0.12650602409638553,0.12650602409638553,0.6445783132530121,0.27710843373493976,0.4879518072289157,0.608433734939759,0.4759036144578313,0.27710843373493976,0.4457831325301205,0.5602409638554217,0.5481927710843374,0.3493975903614458,0.39156626506024095,0.35542168674698793,0.3313253012048193,0.39759036144578314,0.37349397590361444,0.463855421686747,0.463855421686747,0.14457831325301204,0.6626506024096386,0.24096385542168675,0.4397590361445783,0.4578313253012048,0.42771084337349397,0.37349397590361444
43,55,1,2,1,1,7,0.142857143,0,6,0.0,65,32,3,2,A,B,A,A,A,A,C,B,B,A,A,B,A,A,A,C,C,A,A,D,1,2,2,D,A,B,A,A,B,D,D,A,C,C,D,B,D,A,C,A,A,B,C,1,2,2,4,3,3,4,3,3,3,3,3,3,2,3,4,4,1,3,3,4,4,4,4,4,3,3,3,3,2,4,3,1,3,0.13855421686746988,0.19879518072289157,0.5542168674698795,0.572289156626506,0.2289156626506024,0.8192771084337349,0.0963855421686747,0.2469879518072289,0.5060240963855421,0.7530120481927711,0.35542168674698793,0.3433734939759036,0.7409638554216867,0.3614457831325301,0.6265060240963856,0.45180722891566266,0.16265060240963855,0.16265060240963855,0.42168674698795183,0.23493975903614459,0.13855421686746988,0.5903614457831325,0.4397590361445783,0.5602409638554217,0.5481927710843374,0.25301204819277107,0.04819277108433735,0.1927710843373494,0.21686746987951808,0.1927710843373494,0.37349397590361444,0.37349397590361444,0.463855421686747,0.14457831325301204,0.6626506024096386,0.24096385542168675,0.28313253012048195,0.4578313253012048,0.3072289156626506,0.26506024096385544
44,56,1,2,1,0,5,0.0,2,9,0.222222222,65,41,10,6,A,C,B,A,A,A,A,B,B,A,B,B,A,A,A,C,A,C,A,A,1,2,6,D,C,B,A,B,C,A,D,B,C,A,C,D,B,B,C,C,A,B,A,1,2,4,3,4,3,3,3,3,3,3,4,3,4,3,4,3,3,3,4,4,4,4,4,3,4,4,3,3,4,3,4,1,3,0.13855421686746988,0.19879518072289157,0.2289156626506024,0.572289156626506,0.2289156626506024,0.8192771084337349,0.27710843373493976,0.2469879518072289,0.5060240963855421,0.7530120481927711,0.3855421686746988,0.3433734939759036,0.7409638554216867,0.3614457831325301,0.6265060240963856,0.45180722891566266,0.6445783132530121,0.27710843373493976,0.42168674698795183,0.608433734939759,0.13855421686746988,0.10843373493975904,0.4397590361445783,0.5602409638554217,0.21686746987951808,0.26506024096385544,0.39156626506024095,0.1927710843373494,0.3313253012048193,0.1927710843373494,0.27710843373493976,0.04819277108433735,0.12048192771084337,0.463855421686747,0.21686746987951808,0.24096385542168675,0.4397590361445783,0.4578313253012048,0.3072289156626506,0.37349397590361444
45,35,1,1,1,2,7,0.285714286,5,9,0.555555556,68,41,5,2,A,A,C,C,C,A,D,A,B,A,B,B,A,A,A,C,A,B,B,A,1,6,3,A,A,B,A,A,A,B,B,C,C,B,D,D,C,A,D,A,B,A,A,1,3,3,4,4,4,4,4,3,3,4,3,4,3,4,3,4,3,3,3,4,4,4,4,4,3,4,3,4,3,4,2,1,3,0.20481927710843373,0.46987951807228917,0.16265060240963855,0.1686746987951807,0.13855421686746988,0.8192771084337349,0.45180722891566266,0.6325301204819277,0.5060240963855421,0.7530120481927711,0.3855421686746988,0.3433734939759036,0.7409638554216867,0.3614457831325301,0.6265060240963856,0.45180722891566266,0.6445783132530121,0.5240963855421686,0.4879518072289157,0.608433734939759,0.20481927710843373,0.5903614457831325,0.4397590361445783,0.5602409638554217,0.5481927710843374,0.3493975903614458,0.4819277108433735,0.35542168674698793,0.3192771084337349,0.1927710843373494,0.30120481927710846,0.37349397590361444,0.12048192771084337,0.060240963855421686,0.6626506024096386,0.19879518072289157,0.28313253012048195,0.463855421686747,0.42771084337349397,0.37349397590361444
46,33,1,2,3,1,4,0.25,0,4,0.0,53,30,8,1,A,A,A,A,C,C,D,B,B,A,A,C,A,C,A,A,A,D,A,A,1,2,3,A,A,C,A,B,D,A,B,C,C,C,C,B,B,A,B,C,A,B,A,1,2,3,3,3,3,3,3,2,4,2,2,1,2,2,3,3,3,3,3,3,2,3,3,3,2,2,3,3,3,3,3,1,3,0.20481927710843373,0.46987951807228917,0.5542168674698795,0.572289156626506,0.13855421686746988,0.10843373493975904,0.45180722891566266,0.2469879518072289,0.5060240963855421,0.7530120481927711,0.35542168674698793,0.09036144578313253,0.7409638554216867,0.2891566265060241,0.6265060240963856,0.25903614457831325,0.6445783132530121,0.018072289156626505,0.42168674698795183,0.608433734939759,0.20481927710843373,0.5903614457831325,0.09036144578313253,0.5602409638554217,0.21686746987951808,0.1144578313253012,0.39156626506024095,0.35542168674698793,0.3192771084337349,0.1927710843373494,0.37349397590361444,0.04819277108433735,0.463855421686747,0.463855421686747,0.6626506024096386,0.3072289156626506,0.4397590361445783,0.4578313253012048,0.3072289156626506,0.37349397590361444
47,23,1,2,1,0,9,0.0,2,9,0.222222222,49,45,7,2,A,B,A,A,B,A,D,B,B,B,A,A,D,B,A,C,B,B,B,C,1,6,3,B,A,A,D,A,C,B,B,C,B,B,D,A,A,A,A,A,B,A,A,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,1,2,3,1,3,1,3,1,1,1,3,4,4,4,1,3,0.4759036144578313,0.19879518072289157,0.5542168674698795,0.572289156626506,0.608433734939759,0.8192771084337349,0.45180722891566266,0.2469879518072289,0.5060240963855421,0.18674698795180722,0.35542168674698793,0.4457831325301205,0.06626506024096386,0.13253012048192772,0.6265060240963856,0.45180722891566266,0.1144578313253012,0.5240963855421686,0.4879518072289157,0.07228915662650602,0.4759036144578313,0.5903614457831325,0.4457831325301205,0.10843373493975904,0.5481927710843374,0.26506024096385544,0.4819277108433735,0.35542168674698793,0.3192771084337349,0.3253012048192771,0.30120481927710846,0.37349397590361444,0.29518072289156627,0.3132530120481928,0.6626506024096386,0.23493975903614459,0.28313253012048195,0.463855421686747,0.42771084337349397,0.37349397590361444
48,50,1,2,2,0,8,0.0,0,10,0.0,50,37,6,3,A,A,C,C,B,A,C,A,C,A,A,A,A,C,A,D,D,C,B,B,1,2,2,A,B,A,A,A,B,B,B,A,B,C,B,B,B,A,A,C,B,A,B,1,3,3,3,4,3,3,3,3,3,3,4,2,3,3,3,2,3,3,2,2,1,3,3,4,2,2,1,4,4,3,2,1,3,0.20481927710843373,0.46987951807228917,0.16265060240963855,0.1686746987951807,0.608433734939759,0.8192771084337349,0.0963855421686747,0.6325301204819277,0.25301204819277107,0.7530120481927711,0.35542168674698793,0.4457831325301205,0.7409638554216867,0.2891566265060241,0.6265060240963856,0.14457831325301204,0.060240963855421686,0.27710843373493976,0.4879518072289157,0.06626506024096386,0.20481927710843373,0.27710843373493976,0.4457831325301205,0.5602409638554217,0.5481927710843374,0.25301204819277107,0.4819277108433735,0.35542168674698793,0.21686746987951808,0.3253012048192771,0.37349397590361444,0.463855421686747,0.463855421686747,0.463855421686747,0.6626506024096386,0.23493975903614459,0.4397590361445783,0.463855421686747,0.42771084337349397,0.22289156626506024
49,39,1,1,2,1,7,0.142857143,1,8,0.125,65,32,6,1,D,B,B,D,A,C,B,A,B,A,C,A,D,D,C,B,D,C,C,C,0,4,3,D,A,A,C,C,C,A,A,A,C,B,A,A,D,D,C,D,A,C,D,1,1,1,3,4,4,4,2,3,4,3,3,1,3,4,4,4,4,4,3,4,3,4,3,4,2,4,4,3,1,3,3,1,2,0.13855421686746988,0.19879518072289157,0.2289156626506024,0.1144578313253012,0.2289156626506024,0.10843373493975904,0.1566265060240964,0.6325301204819277,0.5060240963855421,0.7530120481927711,0.1746987951807229,0.4457831325301205,0.06626506024096386,0.19879518072289157,0.12650602409638553,0.12650602409638553,0.060240963855421686,0.27710843373493976,0.07228915662650602,0.07228915662650602,0.13855421686746988,0.5903614457831325,0.4457831325301205,0.1686746987951807,0.20481927710843373,0.26506024096385544,0.39156626506024095,0.3674698795180723,0.21686746987951808,0.1927710843373494,0.30120481927710846,0.0963855421686747,0.29518072289156627,0.14457831325301204,0.04216867469879518,0.24096385542168675,0.10843373493975904,0.4578313253012048,0.15060240963855423,0.12048192771084337
50,33,1,1,2,0,6,0.0,0,5,0.0,47,24,29,9,A,B,B,A,D,A,D,A,A,A,A,A,A,D,C,C,B,C,A,A,1,2,3,B,A,B,A,A,A,B,D,B,A,B,D,D,A,B,B,C,A,D,D,1,2,2,2,2,4,3,1,2,2,2,2,1,3,2,2,3,2,2,3,3,2,3,3,1,2,3,2,2,2,3,3,1,3,0.4759036144578313,0.19879518072289157,0.2289156626506024,0.572289156626506,0.006024096385542169,0.8192771084337349,0.45180722891566266,0.6325301204819277,0.20481927710843373,0.7530120481927711,0.35542168674698793,0.4457831325301205,0.7409638554216867,0.19879518072289157,0.12650602409638553,0.45180722891566266,0.1144578313253012,0.27710843373493976,0.42168674698795183,0.608433734939759,0.4759036144578313,0.5903614457831325,0.4397590361445783,0.5602409638554217,0.5481927710843374,0.3493975903614458,0.4819277108433735,0.1927710843373494,0.3313253012048193,0.39759036144578314,0.30120481927710846,0.37349397590361444,0.12048192771084337,0.3132530120481928,0.21686746987951808,0.3072289156626506,0.4397590361445783,0.4578313253012048,0.0963855421686747,0.12048192771084337
51,34,1,2,1,3,8,0.375,1,7,0.142857143,53,31,7,3,B,A,A,A,B,A,D,D,B,A,A,D,A,A,A,A,A,B,B,C,1,10,3,C,A,A,B,A,A,C,D,D,A,C,B,B,B,C,B,C,B,A,A,1,2,2,4,3,2,2,1,3,3,2,1,2,3,4,3,3,3,3,3,3,3,3,4,4,2,2,3,4,3,2,2,1,3,0.16265060240963855,0.46987951807228917,0.5542168674698795,0.572289156626506,0.608433734939759,0.8192771084337349,0.45180722891566266,0.06626506024096386,0.5060240963855421,0.7530120481927711,0.35542168674698793,0.10240963855421686,0.7409638554216867,0.3614457831325301,0.6265060240963856,0.25903614457831325,0.6445783132530121,0.5240963855421686,0.4879518072289157,0.07228915662650602,0.16265060240963855,0.5903614457831325,0.4457831325301205,0.14457831325301204,0.5481927710843374,0.3493975903614458,0.060240963855421686,0.1927710843373494,0.1144578313253012,0.39759036144578314,0.37349397590361444,0.463855421686747,0.463855421686747,0.463855421686747,0.060240963855421686,0.3072289156626506,0.4397590361445783,0.463855421686747,0.42771084337349397,0.37349397590361444
52,34,1,2,2,2,7,0.285714286,2,6,0.333333333,72,29,6,3,A,B,A,B,A,A,D,A,C,A,A,A,B,A,D,D,A,B,B,A,1,9,3,B,A,B,A,B,C,A,B,B,C,A,B,B,A,A,C,C,A,A,C,1,3,3,4,4,4,4,2,3,2,1,3,2,2,2,3,4,2,3,4,4,3,4,4,4,4,4,4,4,3,4,4,1,3,0.4759036144578313,0.19879518072289157,0.5542168674698795,0.12650602409638553,0.2289156626506024,0.8192771084337349,0.45180722891566266,0.6325301204819277,0.25301204819277107,0.7530120481927711,0.35542168674698793,0.4457831325301205,0.12048192771084337,0.3614457831325301,0.1566265060240964,0.14457831325301204,0.6445783132530121,0.5240963855421686,0.4879518072289157,0.608433734939759,0.4759036144578313,0.5903614457831325,0.4397590361445783,0.5602409638554217,0.21686746987951808,0.26506024096385544,0.39156626506024095,0.35542168674698793,0.3313253012048193,0.1927710843373494,0.27710843373493976,0.463855421686747,0.463855421686747,0.3132530120481928,0.6626506024096386,0.24096385542168675,0.4397590361445783,0.4578313253012048,0.42771084337349397,0.26506024096385544
53,53,1,2,2,3,8,0.375,3,8,0.375,59,37,6,4,A,C,A,A,B,A,D,B,B,A,A,C,D,C,A,C,A,C,B,A,1,8,2,A,B,B,C,C,C,A,B,C,B,C,D,B,D,A,A,C,A,A,A,1,3,3,3,4,4,4,3,2,3,3,3,3,3,4,3,3,4,3,3,3,3,3,3,3,2,3,3,3,3,3,3,1,3,0.20481927710843373,0.19879518072289157,0.5542168674698795,0.572289156626506,0.608433734939759,0.8192771084337349,0.45180722891566266,0.2469879518072289,0.5060240963855421,0.7530120481927711,0.35542168674698793,0.09036144578313253,0.06626506024096386,0.2891566265060241,0.6265060240963856,0.45180722891566266,0.6445783132530121,0.27710843373493976,0.4879518072289157,0.608433734939759,0.20481927710843373,0.27710843373493976,0.4397590361445783,0.1686746987951807,0.20481927710843373,0.26506024096385544,0.39156626506024095,0.35542168674698793,0.3192771084337349,0.3253012048192771,0.37349397590361444,0.37349397590361444,0.463855421686747,0.14457831325301204,0.6626506024096386,0.23493975903614459,0.4397590361445783,0.4578313253012048,0.42771084337349397,0.37349397590361444
54,35,1,1,2,1,6,0.166666667,1,8,0.125,56,33,5,1,B,D,A,C,C,A,D,A,C,A,D,A,A,A,D,C,A,B,B,C,0,2,3,B,C,B,B,A,A,B,D,B,A,D,B,B,B,A,B,A,D,B,C,1,3,4,2,3,2,2,3,1,2,3,4,1,2,1,4,4,4,3,3,4,3,4,4,3,3,3,3,3,4,2,2,1,2,0.4759036144578313,0.1144578313253012,0.5542168674698795,0.1686746987951807,0.13855421686746988,0.8192771084337349,0.45180722891566266,0.6325301204819277,0.25301204819277107,0.7530120481927711,0.06626506024096386,0.4457831325301205,0.7409638554216867,0.3614457831325301,0.1566265060240964,0.45180722891566266,0.6445783132530121,0.5240963855421686,0.4879518072289157,0.07228915662650602,0.4759036144578313,0.10843373493975904,0.4397590361445783,0.14457831325301204,0.5481927710843374,0.3493975903614458,0.4819277108433735,0.1927710843373494,0.3313253012048193,0.39759036144578314,0.030120481927710843,0.463855421686747,0.463855421686747,0.463855421686747,0.6626506024096386,0.3072289156626506,0.28313253012048195,0.012048192771084338,0.3072289156626506,0.26506024096385544
55,47,1,2,1,1,7,0.142857143,1,6,0.166666667,65,42,13,8,A,D,C,A,B,A,A,D,B,A,B,A,D,A,A,B,A,B,A,D,1,2,3,A,A,A,A,A,C,B,B,C,B,C,B,A,B,A,D,A,B,B,C,1,3,3,4,4,3,4,4,4,3,4,3,3,4,4,4,3,3,3,4,3,3,3,4,4,3,3,3,3,3,4,4,1,3,0.20481927710843373,0.1144578313253012,0.16265060240963855,0.572289156626506,0.608433734939759,0.8192771084337349,0.27710843373493976,0.06626506024096386,0.5060240963855421,0.7530120481927711,0.3855421686746988,0.4457831325301205,0.06626506024096386,0.3614457831325301,0.6265060240963856,0.12650602409638553,0.6445783132530121,0.5240963855421686,0.42168674698795183,0.23493975903614459,0.20481927710843373,0.5903614457831325,0.4457831325301205,0.5602409638554217,0.5481927710843374,0.26506024096385544,0.4819277108433735,0.35542168674698793,0.3192771084337349,0.3253012048192771,0.37349397590361444,0.463855421686747,0.29518072289156627,0.463855421686747,0.6626506024096386,0.19879518072289157,0.28313253012048195,0.463855421686747,0.3072289156626506,0.26506024096385544
56,63,1,2,1,6,11,0.545454545,2,11,0.181818182,69,37,9,6,B,B,C,B,B,C,D,A,A,A,B,B,A,C,A,C,A,B,C,D,1,2,1,B,A,A,D,A,C,B,B,B,A,A,D,B,B,B,D,C,A,B,B,1,4,2,3,3,3,3,4,2,3,4,2,4,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,2,3,3,1,3,0.4759036144578313,0.19879518072289157,0.16265060240963855,0.12650602409638553,0.608433734939759,0.10843373493975904,0.45180722891566266,0.6325301204819277,0.20481927710843373,0.7530120481927711,0.3855421686746988,0.3433734939759036,0.7409638554216867,0.2891566265060241,0.6265060240963856,0.45180722891566266,0.6445783132530121,0.5240963855421686,0.07228915662650602,0.23493975903614459,0.4759036144578313,0.5903614457831325,0.4457831325301205,0.10843373493975904,0.5481927710843374,0.26506024096385544,0.4819277108433735,0.35542168674698793,0.3313253012048193,0.39759036144578314,0.27710843373493976,0.37349397590361444,0.463855421686747,0.463855421686747,0.21686746987951808,0.19879518072289157,0.4397590361445783,0.4578313253012048,0.3072289156626506,0.22289156626506024
57,44,1,2,2,0,8,0.0,4,10,0.4,59,40,6,2,A,B,C,A,B,A,D,B,B,A,A,A,D,C,A,C,B,A,A,A,1,2,2,A,B,B,A,A,A,A,A,C,A,C,B,A,B,A,B,C,A,B,D,1,3,4,3,3,2,3,3,3,4,2,4,2,3,3,4,4,4,3,3,4,3,4,4,4,4,3,3,3,4,2,1,1,3,0.20481927710843373,0.19879518072289157,0.16265060240963855,0.572289156626506,0.608433734939759,0.8192771084337349,0.45180722891566266,0.2469879518072289,0.5060240963855421,0.7530120481927711,0.35542168674698793,0.4457831325301205,0.06626506024096386,0.2891566265060241,0.6265060240963856,0.45180722891566266,0.1144578313253012,0.16265060240963855,0.42168674698795183,0.608433734939759,0.20481927710843373,0.27710843373493976,0.4397590361445783,0.5602409638554217,0.5481927710843374,0.3493975903614458,0.39156626506024095,0.3674698795180723,0.3192771084337349,0.39759036144578314,0.37349397590361444,0.463855421686747,0.29518072289156627,0.463855421686747,0.6626506024096386,0.3072289156626506,0.4397590361445783,0.4578313253012048,0.3072289156626506,0.12048192771084337
58,41,1,2,3,4,7,0.571428571,3,7,0.428571429,70,46,6,4,A,A,A,A,A,A,C,B,A,B,A,D,A,A,C,C,C,C,B,A,1,3,2,B,B,B,A,B,A,B,B,B,C,B,C,B,B,A,B,A,B,B,D,1,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,3,4,4,3,4,3,3,4,3,4,4,3,4,4,4,4,1,3,0.4759036144578313,0.46987951807228917,0.5542168674698795,0.572289156626506,0.2289156626506024,0.8192771084337349,0.0963855421686747,0.2469879518072289,0.20481927710843373,0.18674698795180722,0.35542168674698793,0.10240963855421686,0.7409638554216867,0.3614457831325301,0.12650602409638553,0.45180722891566266,0.16265060240963855,0.27710843373493976,0.4879518072289157,0.608433734939759,0.4759036144578313,0.27710843373493976,0.4397590361445783,0.5602409638554217,0.21686746987951808,0.3493975903614458,0.4819277108433735,0.35542168674698793,0.3313253012048193,0.1927710843373494,0.30120481927710846,0.04819277108433735,0.463855421686747,0.463855421686747,0.6626506024096386,0.3072289156626506,0.28313253012048195,0.463855421686747,0.3072289156626506,0.12048192771084337
59,48,1,1,4,0,7,0.0,2,8,0.25,48,24,3,1,A,C,A,A,A,A,A,A,B,A,B,C,C,D,A,D,C,B,B,A,1,2,2,A,A,A,D,B,B,B,A,C,A,C,D,B,C,A,D,C,B,A,C,1,3,2,3,3,3,4,2,2,2,2,2,1,2,2,1,2,2,3,2,2,2,2,3,2,2,2,2,3,2,4,3,1,3,0.20481927710843373,0.19879518072289157,0.5542168674698795,0.572289156626506,0.2289156626506024,0.8192771084337349,0.27710843373493976,0.6325301204819277,0.5060240963855421,0.7530120481927711,0.3855421686746988,0.09036144578313253,0.05421686746987952,0.19879518072289157,0.6265060240963856,0.14457831325301204,0.16265060240963855,0.5240963855421686,0.4879518072289157,0.608433734939759,0.20481927710843373,0.5903614457831325,0.4457831325301205,0.10843373493975904,0.21686746987951808,0.25301204819277107,0.4819277108433735,0.3674698795180723,0.3192771084337349,0.39759036144578314,0.37349397590361444,0.37349397590361444,0.463855421686747,0.060240963855421686,0.6626506024096386,0.19879518072289157,0.4397590361445783,0.463855421686747,0.42771084337349397,0.26506024096385544
60,48,1,2,1,0,9,0.0,0,10,0.0,72,36,4,3,A,D,B,B,B,A,C,A,A,A,A,B,A,A,A,C,C,C,B,B,1,10,2,D,B,B,A,C,B,B,D,B,A,C,D,A,B,A,A,D,A,C,C,1,4,2,4,4,4,4,3,3,4,4,3,3,3,3,3,3,2,4,4,4,4,4,4,4,4,4,3,4,2,4,3,1,3,0.13855421686746988,0.1144578313253012,0.2289156626506024,0.12650602409638553,0.608433734939759,0.8192771084337349,0.0963855421686747,0.6325301204819277,0.20481927710843373,0.7530120481927711,0.35542168674698793,0.3433734939759036,0.7409638554216867,0.3614457831325301,0.6265060240963856,0.45180722891566266,0.16265060240963855,0.27710843373493976,0.4879518072289157,0.06626506024096386,0.13855421686746988,0.27710843373493976,0.4397590361445783,0.5602409638554217,0.20481927710843373,0.25301204819277107,0.4819277108433735,0.1927710843373494,0.3313253012048193,0.39759036144578314,0.37349397590361444,0.37349397590361444,0.29518072289156627,0.463855421686747,0.6626506024096386,0.23493975903614459,0.10843373493975904,0.4578313253012048,0.15060240963855423,0.26506024096385544
61,28,1,2,1,0,5,0.0,0,5,0.0,58,41,6,3,A,C,A,C,B,C,C,B,C,A,B,A,A,D,A,A,A,B,A,A,1,2,4,B,A,A,A,A,A,A,B,B,B,C,D,A,A,A,A,C,A,B,D,1,3,4,3,3,3,4,3,4,4,3,3,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,2,3,4,3,3,1,3,0.4759036144578313,0.19879518072289157,0.5542168674698795,0.1686746987951807,0.608433734939759,0.10843373493975904,0.0963855421686747,0.2469879518072289,0.25301204819277107,0.7530120481927711,0.3855421686746988,0.4457831325301205,0.7409638554216867,0.19879518072289157,0.6265060240963856,0.25903614457831325,0.6445783132530121,0.5240963855421686,0.42168674698795183,0.608433734939759,0.4759036144578313,0.5903614457831325,0.4457831325301205,0.5602409638554217,0.5481927710843374,0.3493975903614458,0.39156626506024095,0.35542168674698793,0.3313253012048193,0.3253012048192771,0.37349397590361444,0.37349397590361444,0.29518072289156627,0.3132530120481928,0.6626506024096386,0.23493975903614459,0.4397590361445783,0.4578313253012048,0.3072289156626506,0.12048192771084337
62,56,1,1,2,0,3,0.0,0,3,0.0,47,35,5,2,A,A,B,C,B,A,B,B,C,A,C,B,A,D,A,B,D,B,A,D,1,6,3,C,B,B,A,B,B,C,C,D,B,C,B,A,D,A,C,A,B,D,D,1,2,3,3,3,3,3,2,3,3,3,4,3,3,3,2,2,3,2,3,2,2,2,2,3,3,2,2,2,3,3,3,1,3,0.16265060240963855,0.46987951807228917,0.2289156626506024,0.1686746987951807,0.608433734939759,0.8192771084337349,0.1566265060240964,0.2469879518072289,0.25301204819277107,0.7530120481927711,0.1746987951807229,0.3433734939759036,0.7409638554216867,0.19879518072289157,0.6265060240963856,0.12650602409638553,0.060240963855421686,0.5240963855421686,0.42168674698795183,0.23493975903614459,0.16265060240963855,0.27710843373493976,0.4397590361445783,0.5602409638554217,0.21686746987951808,0.25301204819277107,0.060240963855421686,0.06626506024096386,0.1144578313253012,0.3253012048192771,0.37349397590361444,0.463855421686747,0.29518072289156627,0.14457831325301204,0.6626506024096386,0.24096385542168675,0.28313253012048195,0.463855421686747,0.0963855421686747,0.12048192771084337
